OrderDetailID,OrderID,MobilePhoneID,Quantity
1,625,17,4.68
2,164,59,3.55
3,752,69,2.29
4,424,82,4.68
5,645,90,2.42
6,261,80,4.64
7,544,10,4.15
8,749,22,4.18
9,165,52,4.01
10,397,65,3.73
11,714,32,4.59
12,664,40,4.09
13,701,54,4.49
14,388,87,1.25
15,527,85,4.35
16,12,43,5.0
17,767,38,2.81
18,843,98,3.88
19,510,92,1.03
20,523,10,2.06
21,695,88,4.46
22,973,74,1.07
23,675,24,2.03
24,42,52,2.98
25,168,34,1.95
26,324,40,1.28
27,971,37,4.86
28,752,72,4.17
29,484,86,3.4
30,266,86,1.83
31,137,45,3.49
32,739,55,4.34
33,487,84,1.61
34,977,68,3.54
35,103,56,1.69
36,896,58,1.54
37,301,11,2.82
38,893,81,2.44
39,18,35,1.14
40,920,84,3.73
41,422,41,2.35
42,950,13,1.86
43,637,29,4.21
44,18,78,3.36
45,654,97,2.69
46,165,31,1.36
47,479,45,4.08
48,922,39,4.42
49,758,2,3.78
50,484,20,1.23
51,523,54,2.12
52,966,28,4.53
53,132,63,2.6
54,431,82,1.91
55,750,29,1.63
56,441,14,1.86
57,453,70,1.67
58,960,27,4.06
59,386,40,3.26
60,448,70,4.19
61,65,62,3.08
62,788,40,2.98
63,71,94,4.78
64,498,37,3.49
65,415,3,2.23
66,709,26,4.92
67,218,83,4.02
68,603,86,3.3
69,470,74,3.82
70,121,68,2.08
71,154,26,2.99
72,223,15,3.97
73,122,46,2.64
74,445,78,1.18
75,634,30,3.33
76,397,87,2.25
77,986,24,4.87
78,231,26,3.6
79,717,3,4.09
80,212,67,3.67
81,427,53,1.27
82,300,34,1.94
83,625,43,2.35
84,780,23,1.08
85,803,8,2.92
86,896,79,4.08
87,254,15,2.34
88,310,91,3.49
89,795,53,3.65
90,293,88,4.46
91,86,82,4.08
92,495,69,1.6
93,284,80,4.09
94,186,95,2.44
95,123,91,1.37
96,783,50,3.88
97,74,51,4.62
98,285,21,2.45
99,600,11,3.21
100,359,14,4.38
101,640,30,2.34
102,314,17,3.05
103,911,18,3.05
104,601,62,3.04
105,308,98,3.42
106,722,82,1.67
107,750,51,4.77
108,927,71,1.63
109,374,31,2.23
110,965,23,3.8
111,956,47,4.86
112,629,66,3.75
113,186,28,3.88
114,286,43,2.72
115,898,71,1.22
116,291,84,3.03
117,254,39,2.41
118,222,72,2.04
119,429,98,2.35
120,39,17,3.23
121,250,65,4.42
122,221,98,3.32
123,281,15,2.27
124,110,43,1.53
125,666,55,1.51
126,943,34,1.55
127,787,14,4.21
128,523,45,3.74
129,514,2,2.82
130,785,20,4.83
131,122,72,3.36
132,390,62,1.71
133,665,78,4.32
134,73,58,1.37
135,474,100,1.55
136,538,31,4.06
137,58,60,1.51
138,510,63,4.06
139,79,56,3.65
140,459,30,2.06
141,966,60,2.47
142,190,28,4.13
143,713,4,2.38
144,339,98,2.33
145,175,2,3.57
146,24,44,2.47
147,693,69,1.61
148,399,52,1.19
149,747,24,1.53
150,565,94,4.7
151,442,67,2.6
152,150,43,1.63
153,889,92,1.24
154,485,54,1.82
155,595,53,3.88
156,614,48,2.06
157,989,36,2.8
158,782,76,1.2
159,914,7,4.55
160,236,84,2.19
161,240,2,1.32
162,477,48,3.86
163,704,76,3.73
164,387,46,4.41
165,664,10,1.08
166,11,36,4.61
167,320,18,4.13
168,757,47,3.87
169,572,37,3.35
170,680,40,4.53
171,151,35,2.13
172,415,68,3.35
173,929,32,1.69
174,765,28,3.8
175,508,76,1.3
176,737,37,2.12
177,952,25,3.03
178,96,52,3.01
179,421,83,4.69
180,881,43,1.85
181,897,20,1.36
182,338,21,3.63
183,534,80,1.95
184,615,53,3.82
185,210,66,3.59
186,961,50,4.3
187,293,2,1.66
188,223,67,2.14
189,376,10,1.23
190,159,49,2.54
191,579,55,2.47
192,601,11,3.68
193,849,15,2.06
194,532,85,3.97
195,145,74,3.79
196,671,78,3.79
197,718,72,3.56
198,668,54,4.37
199,557,34,4.13
200,623,29,1.98
201,937,25,2.79
202,623,42,3.97
203,936,20,4.8
204,16,77,2.18
205,96,33,4.37
206,642,81,3.83
207,462,83,4.02
208,823,60,1.02
209,16,72,1.51
210,790,71,1.18
211,918,100,4.19
212,319,95,3.1
213,740,48,1.94
214,575,51,3.76
215,828,10,3.22
216,688,71,1.49
217,906,30,3.18
218,210,25,1.35
219,731,99,3.3
220,746,9,4.06
221,174,44,1.12
222,863,55,1.73
223,231,78,2.07
224,633,5,1.64
225,689,31,3.98
226,633,49,1.36
227,246,27,2.54
228,703,97,1.87
229,163,45,1.91
230,222,48,3.27
231,775,96,4.33
232,374,21,3.21
233,604,21,3.64
234,533,33,4.03
235,10,13,3.11
236,599,3,4.94
237,36,24,2.65
238,390,63,1.09
239,259,45,2.7
240,470,40,3.87
241,872,3,4.46
242,26,87,2.64
243,878,62,4.03
244,428,45,1.49
245,542,69,4.64
246,884,81,4.38
247,554,61,1.87
248,329,58,3.78
249,346,76,2.65
250,645,11,3.06
251,945,78,2.1
252,961,89,4.84
253,836,46,3.17
254,164,38,3.27
255,502,21,3.26
256,330,17,3.34
257,136,97,4.82
258,419,71,3.64
259,688,77,4.21
260,570,6,4.44
261,258,13,2.26
262,516,95,2.88
263,336,14,1.64
264,487,32,1.04
265,468,71,3.95
266,457,47,2.05
267,772,81,1.57
268,424,92,1.05
269,478,73,1.13
270,979,54,3.79
271,236,15,4.67
272,673,45,3.16
273,95,32,1.49
274,990,5,2.66
275,931,39,3.78
276,272,37,2.57
277,856,88,1.42
278,405,100,1.03
279,162,100,2.37
280,719,50,2.06
281,674,100,3.23
282,970,16,3.69
283,232,75,2.29
284,566,15,2.17
285,620,70,1.12
286,341,74,1.5
287,4,90,4.06
288,168,40,4.54
289,984,96,2.88
290,710,87,4.59
291,518,23,3.42
292,585,8,2.6
293,368,99,4.32
294,241,4,3.86
295,910,54,1.39
296,923,81,3.18
297,759,88,1.95
298,981,79,3.89
299,446,33,3.14
300,672,32,3.45
301,798,81,3.37
302,479,66,3.91
303,387,96,4.96
304,809,99,4.72
305,960,26,2.18
306,489,51,3.85
307,750,54,2.45
308,440,100,3.64
309,802,66,3.35
310,925,24,3.96
311,178,93,4.95
312,594,41,3.67
313,758,55,1.66
314,545,15,4.42
315,151,65,2.52
316,127,40,3.01
317,193,50,4.69
318,171,40,1.22
319,530,12,1.48
320,162,66,3.41
321,986,98,3.92
322,829,30,3.79
323,386,44,1.47
324,116,33,1.73
325,725,39,3.43
326,940,31,1.65
327,359,75,4.26
328,330,10,1.3
329,624,65,4.23
330,528,87,3.22
331,903,42,2.45
332,48,71,4.91
333,519,65,1.82
334,872,51,3.41
335,100,95,3.92
336,477,87,1.65
337,308,1,1.4
338,899,88,1.56
339,226,60,4.51
340,72,50,3.89
341,927,80,4.97
342,763,31,2.48
343,939,14,1.7
344,773,46,1.46
345,470,30,4.55
346,350,82,3.38
347,213,30,3.8
348,301,23,2.21
349,395,9,4.79
350,786,30,1.09
351,909,21,4.27
352,860,94,2.69
353,72,4,2.61
354,827,8,3.26
355,435,91,1.6
356,582,86,3.81
357,522,97,4.65
358,552,78,4.66
359,203,31,3.58
360,536,27,1.87
361,194,72,4.31
362,217,10,1.94
363,612,40,4.62
364,430,78,2.76
365,659,52,4.83
366,513,12,3.92
367,612,83,2.59
368,94,91,3.43
369,556,61,3.64
370,729,69,3.88
371,630,47,3.1
372,87,42,2.92
373,455,100,2.76
374,631,40,4.77
375,554,90,1.35
376,582,69,1.41
377,460,94,3.51
378,735,87,3.5
379,375,26,3.95
380,303,88,2.68
381,885,75,1.77
382,580,32,3.11
383,800,17,2.94
384,278,2,1.58
385,731,49,3.81
386,752,45,3.65
387,49,42,4.28
388,360,59,2.33
389,37,57,3.0
390,114,4,1.55
391,665,100,2.85
392,854,66,4.96
393,579,41,1.62
394,659,77,4.88
395,929,31,2.08
396,990,97,2.13
397,222,56,3.25
398,151,13,3.57
399,423,78,1.39
400,636,10,1.01
401,428,9,2.02
402,910,73,2.74
403,367,100,4.98
404,773,16,1.94
405,359,97,1.04
406,701,24,3.49
407,615,85,4.62
408,887,77,4.3
